83833;"ČSN P CEN/TS 99001";;"Podpora podnikání - Podpůrné služby poskytované malým podnikům - Terminologie, kvalita a provádění služby";761001;"VIII.09";""
70411;"ČSN EN ISO 18513";;"Služby cestovního ruchu - Hotely a ostatní kategorie turistického ubytování - Terminologie";761101;"VI.04";""
69434;"ČSN EN 13809";;"Služby cestovního ruchu - Cestovní agentury a cestovní kanceláře (touroperátoři) - Terminologie";761201;"I.04";""
81802;"ČSN EN 15602";;"Poskytovatelé bezpečnostních služeb - Terminologie";761701;"IX.08";""
93066;"ČSN EN 16310";;"Inženýrské služby - Terminologie popisující inženýrské služby pro budovy, infrastrukturu a průmyslová zařízení";763301;"IX.13";""
93067;"ČSN EN 16311";;"Inženýrské služby - Terminologie popisující inženýrské služby pro průmyslové produkty";763302;"IX.13";""
74060;"ČSN 77 0001";"Z1";"Obalová technika - Terminologie";770001;"IX.05";""
16978;"ČSN 77 0002";;"Balicí stroje. Terminologie";770002;"I.95";""
61737;"ČSN EN 13193";;"Obaly - Obaly a životní prostředí - Terminologie";770003;"VI.01";""
68630;"ČSN EN 14182";;"Obaly - Terminologie - Základní termíny a definice";770004;"XI.03";""
85113;"ČSN EN 12374";;"Obaly - Flexibilní tuby - Terminologie";770010;"I.10";""
69040;"ČSN EN ISO 15867";;"Středně velké obaly (IBC) pro jiné než nebezpečné zboží - Terminologie";770614;"XII.03";""
63070;"ČSN EN 12481";;"Samolepicí pásky - Terminologie";770860;"XI.01";""
62387;"ČSN 77 1002-2";;"Balení - Rozměrová koordinace - Část 2: Terminologie";771002;"VIII.01";""
89532;"ČSN EN 15987";;"Usně - Terminologie - Základní definice pro obchod s usněmi";790015;"XII.11";""
67759;"ČSN EN 13360";;"Textilie povrstvené pryží nebo plasty - Terminologie";804632;"VII.03";""
70273;"ČSN EN 374-1";;"Ochranné rukavice proti chemikáliím a mikroorganismům - Část 1: Terminologie a požadavky na provedení";832310;"V.04";""
78373;"ČSN EN 13832-1";;"Obuv chránící před chemikáliemi - Část 1: Terminologie a metody zkoušení";832520;"IV.07";""
58025;"ČSN EN 1070";;"Bezpečnost strojních zařízení - Terminologie";833000;"IV.00";""
83831;"ČSN EN 614-1+A1";;"Bezpečnost strojních zařízení - Ergonomické zásady navrhování - Část 1: Terminologie a všeobecné zásady";833501;"VII.09";""
63497;"ČSN EN ISO 9241-1";"A1";"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 1: Obecný úvod";833582;"XII.01";""
58476;"ČSN EN ISO 9241-12";"Opr.1";"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 12: Zobrazení informací";833582;"II.00";""
59344;"ČSN EN ISO 9241-14";;"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 14: Vedení dialogu s použitím menu";833582;"VI.00";""
59345;"ČSN EN ISO 9241-16";;"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 16: Vedení dialogu pomocí přímé manipulace";833582;"VII.00";""
63056;"ČSN EN ISO 9241-4";"Opr.1";"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 4: Požadavky na klávesnice";833582;"X.01";""
58411;"ČSN EN ISO 9241-13";"Opr.1";"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 13: Vedení uživatelů";833582;"II.00";""
60785;"ČSN EN ISO 9241-9";;"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 9: Požadavky na vstupní zařízení - s výjimkou klávesnic";833582;"XII.00";""
60043;"ČSN EN ISO 9241-6";;"Ergonomické požadavky na kancelářské práce se zobrazovacími terminály - Část 6: Požadavky na pracovní prostředí";833582;"X.00";""
83166;"ČSN EN ISO 9241-302";;"Ergonomie systémových interakcí člověka - Část 302: Terminologie pro elektronické zobrazovací displeje";833582;"V.09";""
91104;"ČSN EN 1540";;"Expozice pracoviště - Terminologie";833610;"IX.13";""
88311;"ČSN EN 14588";;"Tuhá biopaliva - Terminologie, definice a popis";838200;"VI.11";""
